symbol,name,sector,sector_class,status,all_pass,manual_cash_check,g1_solvency,g3_margin_slope,g4_cfo_np,g5_roe_relative,g6_new_high,g7_fwd_pe,composite,cagr_score,yield_score,peg_score,cagr_3y_pct,dividend_yield_pct,peg,roe_3y_avg_pct,fwd_pe,price,mcap
THAI,THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LIMITED,Transportation & Logistics,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,18.22,0.0,60.74,0.0,,3.47,,-781.39,5.49,6.05,171234913980.35
THANA,THANASIRI GROUP PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,NO,NO,NO,YES,51.49,54.43,46.59,52.46,14.15,2.66,1.025,10.51,14.5,1.54,427158152.96
THANI,RATCHTHANI LEASING PUBLIC COMPANY LIMITED,Finance & Securities,bank,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,32.08,0.0,97.48,9.46,-13.16,6.75,0.189,8.26,8.22,1.63,10153805764.7
THCOM,THAICOM PUBLIC COMPANY LIMITED,Information & Communication Technology,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NO,5.99,0.0,19.96,0.0,-1.7,1.14,,1.19,24.58,11.4,12495562275.6
THE,THE STEEL PUBLIC COMPANY LIMITED,Steel and Metal Products,default,scanned,NO,N/A,NO,YES,NA,NO,NO,NO,30.0,0.0,100.0,0.0,-100.0,12.99,,-5.61,284.28,0.77,848587266.45
THG,THONBURI HEALTHCARE GROUP PUBLIC COMPANY LIMITED,Health Care Services,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NO,9.74,0.0,32.45,0.0,-100.0,1.85,,-0.52,122.76,7.55,13508115418.0
THIP,THANTAWAN INDUSTRY PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-17.12,7.58,,10.26,12.9,21.1,1898993374.6
THMUI,THAI MUI CORPORATION PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,NA,NO,YES,YES,30.0,0.0,100.0,0.0,,14.52,,-2.52,7.66,0.31,105400000.0
THRE,THAI REINSURANCE PUBLIC COMPANY LIMITED,Insurance,default,scanned,NO,N/A,YES,YES,NA,NO,YES,YES,50.85,0.0,100.0,69.49,,29.41,1.195,2.59,10.0,0.34,1433097902.88
THREL,THAIRE LIFE ASSURANCE PUBLIC COMPANY LIMITED,Insurance,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,30.0,0.0,100.0,0.0,-100.0,14.34,,-22.96,9.18,1.02,632400000.0
TIDLOR,TIDLOR HOLDINGS PUBLIC COMPANY LIMITED,Finance & Securities,bank,scanned,NO,N/A,NA,NO,NO,YES,YES,YES,33.4,41.0,35.35,21.31,10.66,2.02,0.426,14.54,7.42,16.8,48651616776.0
TIGER,THAI ENGER HOLDING PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NO,30.0,0.0,100.0,0.0,-100.0,19.64,,-2.25,32.0,0.28,128800000.0
TIPCO,TIPCO FOODS PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,30.0,0.0,100.0,0.0,-100.0,11.94,,3.27,12.79,6.2,2991993768.0
TIPH,DHIPAYA GROUP HOLDINGS PUBLIC COMPANY LIMITED,Insurance,default,scanned,NO,N/A,NO,NO,NO,YES,NO,YES,29.18,0.0,97.26,0.0,-4.88,6.73,,16.25,13.21,22.3,13252719092.8
TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,Banking,bank,scanned,NO,N/A,YES,NA,NO,YES,NO,YES,29.76,0.0,99.2,0.0,-2.68,6.92,,16.23,13.29,112.0,89672309888.0
TITLE,RHOM BHO PROPERTY PUBLIC COMPANY LIMITED,Property Development,default,scanned,NO,N/A,NO,YES,YES,YES,YES,YES,64.54,100.0,80.96,0.84,112.98,5.1,0.017,17.08,9.24,7.85,6139136593.45
TK,THITIKORN PUBLIC COMPANY LIMITED,Finance & Securities,bank,scanned,NO,N/A,YES,NO,NA,NO,NO,NO,23.35,0.0,77.85,0.0,-100.0,4.78,,2.6,34.23,4.18,2090000000.0
TKC,TURNKEY COMMUNICATION SERVICES PUBLIC COMPANY LIMITED,Information & Communication Technology,default,scanned,NO,N/A,YES,NO,NO,NO,NO,NO,45.06,7.47,40.23,100.0,1.94,2.3,10.049,11.83,19.52,8.7,3480000000.0
TKN,TAOKAENOI FOOD & MARKETING PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,84.55,100.0,92.19,56.31,66.2,6.22,1.063,30.74,13.32,4.02,5547600000.0
TKS,T.K.S. TECHNOLOGIES PUBLIC COMPANY LIMITED,Media & Publishing,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,30.0,0.0,100.0,0.0,-100.0,7.3,,6.43,10.94,6.3,3203225165.7
TKT,T.KRUNGTHAI INDUSTRIES PUBLIC COMPANY LIMITED,Automotive,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,-100.0,8.96,,-0.43,,0.67,235022600.0
TL,TECHLEAD NEXT PUBLIC COMPANY LIMITED,Agribusiness,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NO,0.0,0.0,0.0,0.0,-100.0,,,-57.37,31.3,0.39,2222708337.33
TLI,THAI LIFE INSURANCE PUBLIC COMPANY LIMITED,Insurance,default,scanned,NO,N/A,NO,YES,NO,NO,YES,YES,51.72,44.81,88.25,24.4,11.65,5.83,0.488,10.13,9.93,10.3,117935000000.0
TM,TECHNO MEDICAL PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,20.98,0.0,68.75,1.17,-100.0,3.93,0.023,-1.19,8.97,0.84,258720149.52
TMAN,T.Man Pharmaceutical Public Company Limited,Personal Products & Pharmaceuticals,default,scanned,NO,N/A,YES,NA,NA,NA,NA,YES,32.18,0.0,80.45,26.81,,5.05,0.536,,8.61,11.1,4440039960.0
TMC,T.M.C. INDUSTRIAL PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NA,YES,NO,NA,30.0,0.0,100.0,0.0,,41.56,,18.44,,0.7,321160000.0
TMD,THAI METAL DRUM MANUFACTURING PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,YES,YES,YES,NO,NO,YES,59.0,0.0,96.67,100.0,-3.68,6.67,2.023,10.16,10.51,25.5,3825000000.0
TMI,TEERA-MONGKOL INDUSTRY PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,YES,NO,NO,YES,10.5,0.0,35.0,0.0,,2.0,,9.64,12.74,0.5,335721328.0
TMILL,T S FLOUR MILL PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,NO,NO,NO,21.5,0.0,71.67,0.0,-44.57,4.17,,5.84,18.94,2.16,861114371.76
TMT,TMT STEEL PUBLIC COMPANY LIMITED,Steel and Metal Products,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NO,14.19,0.0,47.3,0.0,-100.0,2.7,,5.26,32.29,3.7,3221804725.8
TMW,THAI MITSUWA PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,YES,NO,YES,YES,68.2,100.0,92.51,1.49,108.52,6.25,0.03,10.6,4.32,57.75,2304225000.0
TNDT,THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,0.0,0.0,0.0,0.0,,,,-115.72,,0.14,242421578.98
TNH,THAI NAKARIN HOSPITAL PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,YES,NO,NO,10.5,0.0,35.0,0.0,-2.46,2.0,,13.59,15.25,30.0,5400000000.0
TNITY,TRINITY WATTHANA PUBLIC COMPANY LIMITED,Finance & Securities,bank,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,27.62,0.0,92.06,0.0,-87.28,6.21,,-4.12,,2.82,604621665.72
TNP,THANAPIRIYA PUBLIC COMPANY LIMITED,-,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,49.59,48.35,62.5,38.34,12.57,3.57,0.767,16.08,11.17,2.94,2352000000.0
TNPC,THAI NAM PLASTIC PUBLIC COMPANY LIMITED,Automotive,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,10.74,0.0,35.8,0.0,-100.0,2.05,,-6.7,,0.88,299916258.4
TNR,THAI NIPPON RUBBER INDUSTRY PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,31.05,0.0,100.0,3.48,,7.84,0.07,33.2,11.42,5.1,1530000000.0
TOA,TOA PAINT (THAILAND) PUBLIC COMPANY LIMITED,Construction Materials,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,70.33,100.0,93.56,7.54,27.21,6.36,0.151,17.9,7.84,11.8,23942200000.0
TOG,THAI OPTICAL GROUP PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,30.0,0.0,100.0,0.0,-6.07,7.46,,17.17,9.38,6.7,3177930600.0
TOP,THAI OIL PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,NO,NO,YES,NO,NO,YES,21.42,0.0,67.74,3.66,-23.57,3.87,0.073,8.95,3.4,46.5,103873353819.0
TPA,THAI POLY ACRYLIC PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals,default,scanned,NO,N/A,YES,YES,NA,NO,NO,NA,30.0,0.0,100.0,0.0,-100.0,9.62,,-2.47,,2.6,315900000.0
TPAC,THAI PLASPAC PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,NO,NO,YES,YES,NO,YES,51.79,55.27,80.06,18.89,14.37,5.01,0.378,17.81,5.74,8.75,2857312491.25
TPBI,TPBI PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,YES,YES,YES,NO,YES,YES,74.7,100.0,100.0,15.67,110.02,7.82,0.313,8.58,7.09,2.94,1225626906.0
TPCH,TPC POWER HOLDING PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,-100.0,28.83,,3.38,,1.37,549644000.0
TPCS,TPCS PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,30.0,0.0,100.0,0.0,-100.0,7.22,,4.55,11.56,9.7,1047600000.0
TPIPL,TPI POLENE PUBLIC COMPANY LIMITED,Construction Materials,default,scanned,NO,N/A,NO,NO,YES,NO,NO,YES,19.44,0.0,64.81,0.0,-36.64,3.7,,7.45,7.28,0.81,15337540350.0
TPIPP,TPI POLENE POWER PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,30.0,0.0,100.0,0.0,-6.96,9.04,,9.12,9.82,1.77,14868000000.0
TPL,Thai Parcels Public Company Limited,-,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,0.0,0.0,0.0,0.0,,,,1.61,,0.49,964545733.69
TPLAS,THAI PLASTIC INDUSTRIAL (1994) PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,NO,NO,NO,20.59,0.0,68.63,0.0,-29.9,3.92,,5.62,18.3,1.02,275400000.0
TPOLY,THAI POLYCONS PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,,7.07,,-15.85,,0.15,85913922.6
TPP,THAI PACKAGING & PRINTING PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,31.03,0.0,100.0,3.42,-6.78,9.09,0.068,2.38,6.64,11.0,412500000.0
TPS,THE PRACTICAL SOLUTION PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NO,YES,YES,YES,76.72,100.0,93.29,29.12,51.78,6.33,0.582,20.74,9.56,3.16,1326251162.6
TQM,TQM ALPHA PUBLIC COMPANY LIMITED,Insurance,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,30.0,0.0,100.0,0.0,-3.08,7.97,,28.44,9.89,13.8,8280000000.0
TQR,TQR PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,YES,YES,YES,61.5,3.74,100.0,100.0,0.97,7.84,14.677,19.87,11.26,5.1,1173000000.0
TR,THAI RAYON PUBLIC COMPANY LIMITED,Fashion,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,1.0,0.0,3.33,0.0,-100.0,0.19,,2.87,6.56,26.25,5292000256.0
TRC,TRC CONSTRUCTION PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,22.03,0.0,48.06,25.36,,2.75,0.507,-520.37,13.4,0.63,993965586.39
TRITN,TRITON HOLDING PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,0.6,0.0,0.0,2.01,,,0.04,-30.55,4.25,0.02,437935819.7
TRP,Aesthetic Connect Public Company Limited,-,default,scanned,NO,N/A,YES,NA,NA,NA,NA,YES,30.0,0.0,100.0,0.0,,9.13,,,12.34,4.38,1533000000.0
TRT,TIRATHAI PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,YES,NA,NO,YES,YES,57.22,100.0,51.09,6.31,45.43,2.92,0.126,7.32,9.14,6.85,2109856663.2
TRU,THAI RUNG UNION CAR PUBLIC COMPANY LIMITED,Automotive,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,69.83,100.0,94.77,4.67,69.24,6.48,0.093,8.81,10.05,3.86,2622507634.78
TRUBB,THAI RUBBER LATEX GROUP PUBLIC COMPANY LIMITED,Agribusiness,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NA,1.44,0.0,4.8,0.0,-100.0,0.27,,-3.71,,1.13,924086637.05
TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,Information & Communication Technology,default,scanned,NO,N/A,NO,YES,NA,NO,YES,NO,16.91,0.0,53.21,3.15,,3.04,0.063,-6.07,17.62,14.8,511371091854.8
TRV,T.R.V. RUBBER PRODUCTS PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NO,NO,NO,NO,30.0,0.0,0.0,100.0,-22.88,,75.644,7.26,220.12,1.69,405600000.0
TSC,THAI STEEL CABLE PUBLIC COMPANY LIMITED,Automotive,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,71.66,29.16,100.0,100.0,7.58,7.95,1.844,16.77,11.0,15.1,3922980000.0
TSE,THAI SOLAR ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NO,27.07,0.0,90.24,0.0,-100.0,6.02,,-21.03,37.57,0.83,1757704513.23
TSI,THE THAI SETAKIJ INSURANCE PUBLIC COMPANY LIMITED,Insurance,default,scanned,NO,N/A,NO,NA,NA,NO,NO,YES,30.0,0.0,100.0,0.0,,10.0,,-21.98,10.61,0.06,114174825.96
TSR,TSR LIVING SOLUTION PUBLIC COMPANY LIMITED,Home & Office Products,default,scanned,NO,N/A,NO,NO,NA,NO,NO,NO,30.59,0.0,100.0,1.96,-100.0,300.0,0.039,-37.62,28.5,0.05,30217935.0
TSTE,TSTE PUBLIC COMPANY LIMITED,Transportation & Logistics,default,scanned,NO,N/A,YES,NO,YES,NO,NO,NO,8.08,0.0,26.92,0.0,-11.79,1.54,,3.67,28.11,10.4,3986602496.0
TSTH,TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED,Steel and Metal Products,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,17.94,0.0,58.99,0.8,-49.62,3.37,0.016,2.92,3.95,0.89,7495171354.72
TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,Transportation & Logistics,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,31.66,0.0,78.08,27.47,-22.6,4.81,0.549,4.96,8.0,5.2,9476815732.8
TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,Banking,bank,scanned,NO,N/A,YES,NA,YES,NO,NO,YES,59.38,51.11,88.77,41.0,13.29,5.88,0.82,8.65,10.9,2.28,222462656064.12
TTCL,TTCL PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,30.0,0.0,100.0,0.0,-100.0,333.33,,5.64,0.16,0.06,36960002.58
TTI,THAI TEXTILE INDUSTRY PUBLIC COMPANY LIMITED,Fashion,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,10.1,0.0,33.65,0.0,-100.0,1.92,,-1.48,,26.0,1300000000.0
TTT,TORAY TEXTILES (THAILAND) PUBLIC COMPANY LIMITED,Fashion,default,scanned,NO,N/A,YES,YES,YES,NO,YES,NO,99.12,100.0,97.07,100.0,295.96,6.71,1.525,1.73,47.66,41.75,2414820000.0
TTW,TTW PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,44.05,12.51,94.52,35.63,3.25,6.45,0.713,19.28,12.13,9.3,37107000000.0
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,NO,YES,NA,NO,NO,YES,27.1,0.0,90.34,0.0,-13.56,6.03,,-0.28,9.14,11.6,49359539273.6
TURTLE,SUPER TURTLE PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,NA,NO,NO,NA,0.0,0.0,0.0,0.0,-100.0,,,-7.85,,2.44,3878500257.84
TVDH,TVD HOLDINGS PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,YES,NA,NO,NO,YES,30.19,0.0,100.0,0.62,,160.0,0.012,-30.84,4.93,0.05,87618429.6
TVH,THAIVIVAT HOLDINGS PUBLIC COMPANY LIMITED,Insurance,default,scanned,NO,N/A,NO,NA,NA,YES,YES,YES,23.32,0.0,75.36,2.39,,4.54,0.048,14.34,6.67,9.7,2907939293.2
TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,76.79,41.98,100.0,100.0,10.91,7.94,2.356,15.56,9.6,24.8,22058886950.4
TVT,TV THUNDER PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,NA,NO,NO,NO,39.03,0.0,100.0,30.09,-100.0,15.0,0.602,-0.96,32.0,0.2,160006015.0
TWP,THAI WIRE PRODUCTS PUBLIC COMPANY LIMITED,Steel and Metal Products,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,2.99,0.0,9.98,0.0,-100.0,0.57,,-6.06,,1.14,304327223.7
TWPC,THAI WAH PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,YES,YES,NA,NO,NO,YES,20.64,0.0,68.79,0.0,-19.44,3.93,,0.9,9.6,2.9,2553220697.0
TWZ,TWZ CORPORATION PUBLIC COMPANY LIMITED,Information & Communication Technology,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,-100.0,17.0,,0.05,,0.01,198609062.13
TYCN,"TYCOONS WORLDWIDE GROUP (THAILAND) PUBLIC CO.,LTD.",Steel and Metal Products,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,26.65,0.0,88.82,0.0,-100.0,5.88,,-0.01,9.93,1.7,1014473130.0
UAC,UAC GLOBAL PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals,default,scanned,NO,N/A,NO,YES,NO,NO,NO,NO,30.0,0.0,100.0,0.0,-11.91,7.14,,10.55,28.43,2.8,1869297357.2
UBA,Utility Business Alliance Public Company Limited,-,default,scanned,YES,PENDING,YES,YES,YES,YES,YES,YES,77.39,43.47,100.0,100.0,11.3,9.09,9.833,13.58,8.98,1.07,642000000.0
UBE,UBON BIO ETHANOL PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,47.49,75.14,46.16,11.94,19.54,2.64,0.239,2.77,4.67,0.58,2270285880.0
UBIS,UBIS (ASIA) PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,NA,NO,NO,YES,30.41,0.0,100.0,1.37,-26.19,30.7,0.027,-3.65,14.0,1.44,410400342.72
UEC,UNIMIT ENGINEERING PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,-100.0,7.59,,1.57,,0.79,450703374.0
UKEM,UNION PETROCHEMICAL PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,YES,NA,NO,NO,NO,7.03,0.0,23.44,0.0,-62.22,1.34,,-2.01,22.33,1.12,1213970521.12
UMI,THE UNION MOSAIC INDUSTRY PUBLIC COMPANY LIMITED,Construction Materials,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,22.79,0.0,75.98,0.0,,4.6,,4.06,1.93,0.87,727759124.67
UMS,UNIQUE MINING SERVICES PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,30.67,0.0,100.0,2.22,,196.77,0.044,-32.17,2.89,0.26,620970816.0
UNIQ,UNIQUE ENGINEERING AND CONSTRUCTION PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,YES,NO,NO,NO,YES,56.75,100.0,52.24,3.61,87.47,2.99,0.072,1.42,3.18,2.68,2897123558.04
UP,UNION PLASTIC PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals,default,scanned,NO,N/A,YES,YES,YES,NO,YES,YES,80.58,100.0,100.0,35.26,223.78,10.87,0.705,7.23,8.91,23.0,575000000.0
UPF,UNION PIONEER PUBLIC COMPANY LIMITED,Fashion,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,25.22,0.0,84.05,0.0,-100.0,5.41,,-0.02,,22.2,166500000.0
UPOIC,UNITED PALM OIL INDUSTRY PUBLIC COMPANY LIMITED,Agribusiness,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,27.34,0.0,78.57,12.57,-11.64,4.86,0.251,11.98,8.66,7.0,2268350000.0
UREKA,EUREKA DESIGN PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,NO,NO,NO,97.68,100.0,92.26,100.0,44.29,6.23,6.876,5.21,42.02,0.31,583488473.11
UTP,UNITED PAPER PUBLIC COMPANY LIMITED,Paper & Printing Materials,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,30.0,0.0,100.0,0.0,-12.26,8.0,,17.32,5.45,7.5,4875000000.0
UV,UNIVENTURES PUBLIC COMPANY LIMITED,Property Development,default,scanned,NO,N/A,NO,YES,YES,NO,NO,NO,81.46,100.0,100.0,38.19,60.22,10.84,0.764,2.16,46.0,0.83,1586899025.71
UVAN,UNIVANICH PALM OIL PUBLIC COMPANY LIMITED,Agribusiness,default,scanned,NO,N/A,YES,YES,YES,YES,NO,NO,60.54,56.81,100.0,26.04,14.77,8.45,0.521,28.25,18.52,14.8,13912000000.0
VARO,VAROPAKORN PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,default,scanned,NO,N/A,NO,YES,NA,NO,YES,YES,62.01,100.0,72.08,1.3,222.92,4.21,0.026,-1.55,5.81,4.04,403604576.92
VCOM,VINTCOM TECHNOLOGY PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,NO,NO,YES,YES,NO,YES,30.0,0.0,100.0,0.0,-11.52,10.76,,16.63,7.97,3.44,1056097888.0
VGI,VGI PUBLIC COMPANY LIMITED,Media & Publishing,default,scanned,NO,N/A,YES,YES,NA,NO,NO,NO,29.69,0.0,98.97,0.0,,6.9,,-4.02,50.65,0.87,18358117856.91
VIBHA,VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED,Health Care Services,default,scanned,NO,N/A,YES,NO,YES,NO,NO,NO,22.24,0.0,74.12,0.0,-27.12,4.41,,7.35,17.0,1.36,18339335893.44
VIH,SRIVICHAIVEJVIVAT PUBLIC COMPANY LIMITED,Health Care Services,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,42.55,0.0,75.2,66.65,-36.96,4.52,1.166,14.65,12.54,8.85,5475023498.55
VL,V.L. ENTERPRISE PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,YES,NO,NO,NO,66.92,100.0,81.95,7.77,47.94,5.19,0.155,4.32,21.99,0.77,911392416.55
VNG,VANACHAI GROUP PUBLIC COMPANY LIMITED,Construction Materials,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,24.08,0.0,80.25,0.0,-100.0,5.03,,-1.69,2.0,1.99,3453122585.2
VPO,VICHITBHAN PALMOIL PUBLIC COMPANY LIMITED,Agribusiness,default,scanned,NO,N/A,YES,YES,NA,NO,YES,NO,32.0,4.99,0.0,100.0,1.3,,13.934,-2.97,18.09,0.51,479400000.0
VRANDA,VERANDA RESORT PUBLIC COMPANY LIMITED,Tourism & Leisure,default,scanned,NO,N/A,NO,YES,NA,NO,YES,NO,23.28,0.0,75.34,2.25,,4.53,0.045,-1.56,17.28,4.08,1304301221.76
VS,VISERVE ENTERPRISE PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,0.0,0.0,0.0,0.0,,,,-36.16,,0.26,65000000.0
WACOAL,THAI WACOAL PUBLIC COMPANY LIMITED,Fashion,default,scanned,NO,N/A,YES,NO,YES,NO,NO,NA,17.39,0.0,57.98,0.0,,3.31,,1.26,,16.6,1992000000.0
WARRIX,Warrix Sport Public Company Limited,-,default,scanned,NO,N/A,YES,NO,NO,NO,YES,YES,66.87,100.0,61.97,27.59,118.69,3.54,0.552,11.73,9.31,1.59,954000000.0
WAVE,WAVE EXPONENTIAL PUBLIC COMPANY LIMITED,Professional Services,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,30.0,0.0,100.0,0.0,,232.5,0.0,-40.5,0.44,0.02,229258742.0
WFX,WORLD FLEX PUBLIC COMPANY LIMITED,Fashion,default,scanned,NO,N/A,YES,NO,NA,NO,NO,NA,30.0,0.0,100.0,0.0,-100.0,46.04,,-1.55,,1.01,468842000.0
WGE,WELL GRADED ENGINEERING PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,NO,YES,NA,NO,YES,YES,41.08,100.0,0.0,3.59,53.83,,0.072,-19.73,2.81,0.7,420000000.0
WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,Property Development,default,scanned,NO,N/A,NO,YES,NO,YES,YES,YES,46.16,31.81,75.02,36.44,8.27,4.5,0.729,13.53,12.97,4.68,69951186297.72
WHAUP,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED,Energy & Utilities,default,scanned,NO,N/A,NO,NO,YES,NO,NO,YES,69.74,100.0,80.0,19.12,30.8,5.0,0.382,9.41,11.78,5.05,19316250000.0
WICE,WICE LOGISTICS PUBLIC COMPANY LIMITED,Transportation & Logistics,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,26.07,0.0,86.91,0.0,-43.28,5.69,,18.57,6.76,2.46,1603672770.0
WIIK,WIIK PUBLIC COMPANY LIMITED,Construction Materials,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,27.54,0.0,91.8,0.0,-21.99,6.18,,2.98,8.71,0.89,745537925.18
