symbol,name,sector,sector_class,status,all_pass,manual_cash_check,g1_solvency,g3_margin_slope,g4_cfo_np,g5_roe_relative,g6_new_high,g7_fwd_pe,composite,cagr_score,yield_score,peg_score,cagr_3y_pct,dividend_yield_pct,peg,roe_3y_avg_pct,fwd_pe,price,mcap
SMART,SMART CONCRETE PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,YES,YES,YES,NO,NO,78.95,100.0,100.0,29.83,29.72,12.27,0.597,12.06,17.73,0.55,572861651.45
SMD100,SMD RISE PUBLIC COMPANY LIMITED,-,default,scanned,NO,N/A,YES,NO,NO,YES,NO,NO,30.0,0.0,100.0,0.0,-49.29,47.77,,14.68,30.72,1.57,352753592.69
SMIT,SAHAMIT MACHINERY PUBLIC COMPANY LIMITED,Steel and Metal Products,default,scanned,NO,N/A,YES,NO,YES,NO,NO,YES,47.64,0.0,100.0,58.82,-20.55,7.06,1.088,6.77,11.62,3.4,1802000000.0
SMO,SMOTHONG GROUP PUBLIC COMPANY LIMITED,Agribusiness,default,scanned,NO,N/A,NO,NA,NA,NA,NA,YES,34.72,0.0,100.0,15.73,,7.95,0.315,,5.96,4.4,4048000000.0
SMPC,SAHAMITR PRESSURE CONTAINER PUBLIC COMPANY LIMITED,Packaging,default,scanned,NO,N/A,YES,NO,YES,YES,NO,YES,31.9,0.0,100.0,6.35,-6.36,7.73,0.127,22.03,7.74,9.05,4846332313.65
SMT,STARS MICROELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,Electronic Components,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,7.16,0.0,23.86,0.0,-100.0,1.36,,0.01,8.24,2.2,1844684298.6
SNC,SNC FORMER PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,default,scanned,NO,N/A,NO,NO,NA,NO,NO,YES,30.0,0.0,100.0,0.0,-13.19,16.03,,2.39,3.51,6.55,2372543220.45
SNNP,SRINANAPORN MARKETING PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,NO,NO,NO,YES,NO,YES,60.26,0.65,100.0,100.0,0.17,9.22,62.792,19.49,10.59,6.45,5805032895.0
SNP,S & P SYNDICATE PUBLIC COMPANY LIMITED,Food & Beverage,default,scanned,NO,N/A,YES,NO,YES,YES,NO,NO,67.88,30.3,85.87,100.0,7.88,5.59,2.176,17.02,17.14,8.95,4606657927.85
SNPS,Specialty Natural Products Public Company Limited,Personal Products & Pharmaceuticals,default,scanned,NO,N/A,YES,NA,NA,NA,NA,YES,31.16,0.0,85.32,18.56,,5.53,0.371,,14.12,4.7,1903500000.0
SO,SIAMRAJATHANEE PUBLIC COMPANY LIMITED,Professional Services,default,scanned,NO,N/A,NO,NO,YES,YES,YES,YES,49.16,40.48,100.0,9.9,10.53,8.15,0.198,17.63,9.61,4.66,2218859018.64
SOLAR,SOLARTRON PUBLIC COMPANY LIMITED,Construction Services,default,scanned,NO,N/A,YES,NO,NA,NO,NO,YES,25.35,0.0,84.52,0.0,,5.45,,-1.79,13.33,0.31,405207430.64
